country,index,EDI
SouthAfrica,2013-02-01,2.074652252506871
SouthAfrica,2013-03-01,1.9595622144738476
SouthAfrica,2013-04-01,1.854846568754647
SouthAfrica,2013-05-01,1.9278580960125054
SouthAfrica,2013-06-01,1.626899127181986
SouthAfrica,2013-07-01,1.883728007902411
SouthAfrica,2013-08-01,1.9787420059821184
SouthAfrica,2013-09-01,2.1073459262311616
SouthAfrica,2013-10-01,2.2345904834744665
SouthAfrica,2013-11-01,2.183571457066141
SouthAfrica,2013-12-01,2.0849145914230043
SouthAfrica,2014-01-01,2.0302163657514463
SouthAfrica,2014-02-01,2.038940429460691
SouthAfrica,2014-03-01,2.163686053852885
SouthAfrica,2014-04-01,2.4203359906088764
SouthAfrica,2014-05-01,2.5317592095826935
SouthAfrica,2014-06-01,2.511164875305708
SouthAfrica,2014-07-01,2.7357390622975233
SouthAfrica,2014-08-01,2.6971783973816956
SouthAfrica,2014-09-01,2.5609204789583515
SouthAfrica,2014-10-01,2.420990576747922
SouthAfrica,2014-11-01,2.55317971890174
SouthAfrica,2014-12-01,2.361165254453428
SouthAfrica,2015-01-01,2.251749160751718
SouthAfrica,2015-02-01,2.479025951911539
SouthAfrica,2015-03-01,2.307440489647707
SouthAfrica,2015-04-01,2.7360451798482153
SouthAfrica,2015-05-01,2.7206188876170287
SouthAfrica,2015-06-01,2.501339283327619
SouthAfrica,2015-07-01,2.44141451622772
SouthAfrica,2015-08-01,2.232019527522203
SouthAfrica,2015-09-01,2.022531532614046
SouthAfrica,2015-10-01,2.2641432416375746
SouthAfrica,2015-11-01,2.0847701427061445
SouthAfrica,2015-12-01,1.7850682396538256
SouthAfrica,2016-01-01,1.3134444583107887
SouthAfrica,2016-02-01,1.4647674502954153
SouthAfrica,2016-03-01,1.6837582726330345
SouthAfrica,2016-04-01,1.9439581682893505
SouthAfrica,2016-05-01,1.7717942457449836
SouthAfrica,2016-06-01,1.8430366308915076
SouthAfrica,2016-07-01,1.987925969056711
SouthAfrica,2016-08-01,2.120766172360618
SouthAfrica,2016-09-01,2.0427556019393016
SouthAfrica,2016-10-01,2.0410386716311493
SouthAfrica,2016-11-01,1.9685222026200988
SouthAfrica,2016-12-01,1.9767701908433912
SouthAfrica,2017-01-01,2.1920449622690947
SouthAfrica,2017-02-01,2.2956331792533833
SouthAfrica,2017-03-01,2.3218708910305637
SouthAfrica,2017-04-01,2.3544482525226975
SouthAfrica,2017-05-01,2.447099979966895
SouthAfrica,2017-06-01,2.3773188412420163
SouthAfrica,2017-07-01,2.565782861901991
SouthAfrica,2017-08-01,2.67687855338964
SouthAfrica,2017-09-01,2.690796715365428
SouthAfrica,2017-10-01,2.8418831168009504
SouthAfrica,2017-11-01,2.8769458135721155
SouthAfrica,2017-12-01,3.012582260553835
SouthAfrica,2018-01-01,3.637637398068962
SouthAfrica,2018-02-01,3.5756074752409237
SouthAfrica,2018-03-01,3.562014854804486
SouthAfrica,2018-04-01,3.5318623806622735
SouthAfrica,2018-05-01,3.4425659674664963
SouthAfrica,2018-06-01,3.1913529803896736
SouthAfrica,2018-07-01,3.2279421187462742
SouthAfrica,2018-08-01,3.0875251614765236
SouthAfrica,2018-09-01,2.8751765714062394
SouthAfrica,2018-10-01,2.7505863077696144
SouthAfrica,2018-11-01,2.8037004294205996
SouthAfrica,2018-12-01,2.7073535214024487
SouthAfrica,2019-01-01,2.9856064067499952
SouthAfrica,2019-02-01,3.0534293905308907
SouthAfrica,2019-03-01,3.0066047994211256
SouthAfrica,2019-04-01,3.1614034331904097
SouthAfrica,2019-05-01,2.9547171425917282
SouthAfrica,2019-06-01,3.023527735938842
SouthAfrica,2019-07-01,3.1994746417728397
SouthAfrica,2019-08-01,2.7821534888717743
SouthAfrica,2019-09-01,2.885524056581562
SouthAfrica,2019-10-01,2.8474643424244963
SouthAfrica,2019-11-01,2.9165547856847374
SouthAfrica,2019-12-01,2.961277473056935
SouthAfrica,2020-01-01,2.8638461422799733
SouthAfrica,2020-02-01,2.666776164517473
SouthAfrica,2020-03-01,1.8453361325625404
SouthAfrica,2020-04-01,1.7356105473885295
SouthAfrica,2020-05-01,1.8908869611988257
SouthAfrica,2020-06-01,2.1779006504453555
SouthAfrica,2020-07-01,2.312692519891719
Thailand,2008-01-01,4.561619637565945
Thailand,2008-02-01,4.741810588490722
Thailand,2008-03-01,4.858897354223853
Thailand,2008-04-01,4.997900238653907
Thailand,2008-05-01,5.002338811494392
Thailand,2008-06-01,4.616755823198888
Thailand,2008-07-01,4.233817715099288
Thailand,2008-08-01,4.158124584889018
Thailand,2008-09-01,3.918774018162608
Thailand,2008-10-01,3.21621702153333
Thailand,2008-11-01,2.9165591555225774
Thailand,2008-12-01,2.905904621903793
Thailand,2009-01-01,2.876315169928951
Thailand,2009-02-01,2.8404167367629114
Thailand,2009-03-01,2.7784908719298187
Thailand,2009-04-01,2.886853930421534
Thailand,2009-05-01,3.302354407829318
Thailand,2009-06-01,3.5520691629148935
Thailand,2009-07-01,3.610453777179883
Thailand,2009-08-01,3.8180787836228807
Thailand,2009-09-01,4.049276802422472
Thailand,2009-10-01,4.289316767810023
Thailand,2009-11-01,4.191971869228226
Thailand,2009-12-01,4.280420115833865
Thailand,2010-01-01,4.3990015624516605
Thailand,2010-02-01,4.291239634917478
Thailand,2010-03-01,4.580859823366998
Thailand,2010-04-01,4.741858716210313
Thailand,2010-05-01,4.616225728221371
Thailand,2010-06-01,4.723173527607457
Thailand,2010-07-01,5.031483554632819
Thailand,2010-08-01,5.3279817434460615
Thailand,2010-09-01,5.692057151555231
Thailand,2010-10-01,6.077855363448251
Thailand,2010-11-01,6.226503166845845
Thailand,2010-12-01,6.2720708045102604
Thailand,2011-01-01,6.183023419135571
Thailand,2011-02-01,6.014242793607533
Thailand,2011-03-01,6.237903586406313
Thailand,2011-04-01,6.7332704902457365
Thailand,2011-05-01,6.626214882911066
Thailand,2011-06-01,6.385062754373633
Thailand,2011-07-01,6.790668260506198
Thailand,2011-08-01,6.705174912510959
Thailand,2011-09-01,6.322147498808501
Thailand,2011-10-01,6.0087484903668695
Thailand,2011-11-01,6.158563335162686
Thailand,2011-12-01,6.408839831729781
Thailand,2012-01-01,6.55614266716603
Thailand,2012-02-01,6.961281146084129
Thailand,2012-03-01,7.209334035872459
Thailand,2012-04-01,7.268195653608732
Thailand,2012-05-01,7.100705919089183
Thailand,2012-06-01,6.979161253195979
Thailand,2012-07-01,7.253803732309141
Thailand,2012-08-01,7.395465431526725
Thailand,2012-09-01,7.651350786902011
Thailand,2012-10-01,7.886793315769136
Thailand,2012-11-01,7.884910274921165
Thailand,2012-12-01,8.175901743933405
Thailand,2013-01-01,8.708769305743399
Thailand,2013-02-01,9.126649524252166
Thailand,2013-03-01,9.381692895864298
Thailand,2013-04-01,9.422817926788014
Thailand,2013-05-01,9.585093680184414
Thailand,2013-06-01,8.666764289036045
Thailand,2013-07-01,8.63694889925404
Thailand,2013-08-01,8.28547591992355
Thailand,2013-09-01,8.343363489583252
Thailand,2013-10-01,8.727050218710096
Thailand,2013-11-01,8.418151047025471
Thailand,2013-12-01,8.075817503038083
Thailand,2014-01-01,7.690405426556232
Thailand,2014-02-01,7.854395710605306
Thailand,2014-03-01,8.133779703433637
Thailand,2014-04-01,8.466226728485898
Thailand,2014-05-01,8.401278808650265
Thailand,2014-06-01,8.61645114187093
Thailand,2014-07-01,9.107010118846311
Thailand,2014-08-01,9.236890679639583
Thailand,2014-09-01,9.347284736143202
Thailand,2014-10-01,9.219914701485985
Thailand,2014-11-01,9.315034987350245
Thailand,2014-12-01,9.062886166916542
Thailand,2015-01-01,9.179624386159196
Thailand,2015-02-01,9.462583877801997
Thailand,2015-03-01,9.155152100257638
Thailand,2015-04-01,9.35434735057548
Thailand,2015-05-01,8.993468307108305
Thailand,2015-06-01,8.944320128750963
Thailand,2015-07-01,8.722518808870559
Thailand,2015-08-01,8.250973566005285
Thailand,2015-09-01,8.130242374627514
Thailand,2015-10-01,8.28066208430312
Thailand,2015-11-01,8.22243582522091
Thailand,2015-12-01,7.8436499912338515
Thailand,2016-01-01,7.732147020119561
Thailand,2016-02-01,7.960540872551022
Thailand,2016-03-01,8.324037547746531
Thailand,2016-04-01,8.463514311314073
Thailand,2016-05-01,8.391791586999277
Thailand,2016-06-01,8.550595255560522
Thailand,2016-07-01,8.887711557689281
Thailand,2016-08-01,9.134050815832119
Thailand,2016-09-01,8.92144594152455
Thailand,2016-10-01,8.913474574647445
Thailand,2016-11-01,8.927682959589603
Thailand,2016-12-01,8.952958174896597
Thailand,2017-01-01,9.296327881936815
Thailand,2017-02-01,9.362214138166397
Thailand,2017-03-01,9.329874111997675
Thailand,2017-04-01,9.519273314605918
Thailand,2017-05-01,9.4671590002764
Thailand,2017-06-01,9.619894687293346
Thailand,2017-07-01,9.769300971518188
Thailand,2017-08-01,9.878839644983348
Thailand,2017-09-01,10.180880614152553
Thailand,2017-10-01,10.50260504233151
Thailand,2017-11-01,10.587701217540637
Thailand,2017-12-01,10.75113320167248
Thailand,2018-01-01,11.428767727393165
Thailand,2018-02-01,11.41640753108538
Thailand,2018-03-01,11.46850377150022
Thailand,2018-04-01,11.495173028545132
Thailand,2018-05-01,11.306683293740136
Thailand,2018-06-01,10.831796838341972
Thailand,2018-07-01,10.662979429478483
Thailand,2018-08-01,10.943633180206401
Thailand,2018-09-01,11.111288495056296
Thailand,2018-10-01,10.983796604180927
Thailand,2018-11-01,10.794198580421092
Thailand,2018-12-01,10.661868796034339
Thailand,2019-01-01,10.917724781101949
Thailand,2019-02-01,11.26389645311918
Thailand,2019-03-01,11.086235059029608
Thailand,2019-04-01,11.277516644960123
Thailand,2019-05-01,11.159495092028862
Thailand,2019-06-01,11.555031358602836
Thailand,2019-07-01,11.87258238205726
Thailand,2019-08-01,11.52138370405067
Thailand,2019-09-01,11.597310598927464
Thailand,2019-10-01,11.574070520614214
Thailand,2019-11-01,11.566108252048561
Thailand,2019-12-01,11.376257344832027
Thailand,2020-01-01,11.259115543139188
Thailand,2020-02-01,10.689976927917884
Thailand,2020-03-01,9.237647034846884
Thailand,2020-04-01,9.400160082162765
Thailand,2020-05-01,9.80189345517436
Thailand,2020-06-01,10.25028121053164
Thailand,2020-07-01,10.138947165921422
UnitedKingdom,2008-01-01,4.745104859223453
UnitedKingdom,2008-02-01,4.676731681673319
UnitedKingdom,2008-03-01,4.5872470754989205
UnitedKingdom,2008-04-01,4.821532516910896
UnitedKingdom,2008-05-01,4.877541729345097
UnitedKingdom,2008-06-01,4.593187197386721
UnitedKingdom,2008-07-01,4.3350219522273825
UnitedKingdom,2008-08-01,4.1907095732437405
UnitedKingdom,2008-09-01,3.87093939090491
UnitedKingdom,2008-10-01,2.9694885956910273
UnitedKingdom,2008-11-01,2.6519003724692602
UnitedKingdom,2008-12-01,2.594038647517909
UnitedKingdom,2009-01-01,2.453409822571044
UnitedKingdom,2009-02-01,2.285210792698999
UnitedKingdom,2009-03-01,2.0883819116807025
UnitedKingdom,2009-04-01,2.2492919368374062
UnitedKingdom,2009-05-01,2.499754955163607
UnitedKingdom,2009-06-01,2.5953930539020966
UnitedKingdom,2009-07-01,2.6398469602781356
UnitedKingdom,2009-08-01,2.903725727487796
UnitedKingdom,2009-09-01,3.009763645093301
UnitedKingdom,2009-10-01,3.1639390265342793
UnitedKingdom,2009-11-01,3.2694749406532413
UnitedKingdom,2009-12-01,3.2488264831712548
UnitedKingdom,2010-01-01,3.3057440639153852
UnitedKingdom,2010-02-01,3.099834009485647
UnitedKingdom,2010-03-01,3.1959715310254833
UnitedKingdom,2010-04-01,3.417985059882501
UnitedKingdom,2010-05-01,3.0418977315200326
UnitedKingdom,2010-06-01,3.0388058972484355
UnitedKingdom,2010-07-01,3.212030443724958
UnitedKingdom,2010-08-01,3.336310414892519
UnitedKingdom,2010-09-01,3.4319596062624416
UnitedKingdom,2010-10-01,3.6512955355423404
UnitedKingdom,2010-11-01,3.693427121486218
UnitedKingdom,2010-12-01,3.7076565724466164
UnitedKingdom,2011-01-01,3.8420642874767132
UnitedKingdom,2011-02-01,3.9357306428737093
UnitedKingdom,2011-03-01,3.87068220851757
UnitedKingdom,2011-04-01,4.064144910996442
UnitedKingdom,2011-05-01,4.0153450470726515
UnitedKingdom,2011-06-01,3.9040974317615547
UnitedKingdom,2011-07-01,3.9574630134094373
UnitedKingdom,2011-08-01,3.6144882247154295
UnitedKingdom,2011-09-01,3.465590467913149
UnitedKingdom,2011-10-01,3.619588065456485
UnitedKingdom,2011-11-01,3.6335958294980766
UnitedKingdom,2011-12-01,3.623785441248476
UnitedKingdom,2012-01-01,3.8427185766266345
UnitedKingdom,2012-02-01,4.0363042812669505
UnitedKingdom,2012-03-01,4.044910190418559
UnitedKingdom,2012-04-01,4.077101457584243
UnitedKingdom,2012-05-01,3.922521370422036
UnitedKingdom,2012-06-01,3.8671659635102085
UnitedKingdom,2012-07-01,4.016030130900161
UnitedKingdom,2012-08-01,4.127399655203936
UnitedKingdom,2012-09-01,4.227118959614504
UnitedKingdom,2012-10-01,4.29593143207779
UnitedKingdom,2012-11-01,4.250808596263116
UnitedKingdom,2012-12-01,4.367450160427968
UnitedKingdom,2013-01-01,4.525189185073939
UnitedKingdom,2013-02-01,4.544679962729427
UnitedKingdom,2013-03-01,4.529839334528441
UnitedKingdom,2013-04-01,4.572010170529836
UnitedKingdom,2013-05-01,4.733453707718908
UnitedKingdom,2013-06-01,4.603259256510146
UnitedKingdom,2013-07-01,4.750797478509837
UnitedKingdom,2013-08-01,4.853810133273452
UnitedKingdom,2013-09-01,4.992923902282561
UnitedKingdom,2013-10-01,5.189335036708963
UnitedKingdom,2013-11-01,5.2596025505179504
UnitedKingdom,2013-12-01,5.269373776161395
UnitedKingdom,2014-01-01,5.437403841372978
UnitedKingdom,2014-02-01,5.473377168812808
UnitedKingdom,2014-03-01,5.493007504477152
UnitedKingdom,2014-04-01,5.6908589045553555
UnitedKingdom,2014-05-01,5.810282562116505
UnitedKingdom,2014-06-01,5.847870955202488
UnitedKingdom,2014-07-01,6.000243583937104
UnitedKingdom,2014-08-01,5.880158113903079
UnitedKingdom,2014-09-01,5.81999988674475
UnitedKingdom,2014-10-01,5.631379778434111
UnitedKingdom,2014-11-01,5.728113194366038
UnitedKingdom,2014-12-01,5.655489713832486
UnitedKingdom,2015-01-01,5.6572408564416286
UnitedKingdom,2015-02-01,5.864999507894417
UnitedKingdom,2015-03-01,5.792858498402236
UnitedKingdom,2015-04-01,5.9462592356098565
UnitedKingdom,2015-05-01,6.073133771549502
UnitedKingdom,2015-06-01,6.024724954610813
UnitedKingdom,2015-07-01,6.0133628146954266
UnitedKingdom,2015-08-01,5.949644974133008
UnitedKingdom,2015-09-01,5.725254664683138
UnitedKingdom,2015-10-01,5.851735608674234
UnitedKingdom,2015-11-01,5.807946498522913
UnitedKingdom,2015-12-01,5.701932993266265
UnitedKingdom,2016-01-01,5.471394297543879
UnitedKingdom,2016-02-01,5.415045227584642
UnitedKingdom,2016-03-01,5.563625096653597
UnitedKingdom,2016-04-01,5.738776205400271
UnitedKingdom,2016-05-01,5.737015323563433
UnitedKingdom,2016-06-01,5.662631649255312
UnitedKingdom,2016-07-01,5.66891232586136
UnitedKingdom,2016-08-01,5.7874920479853404
