response,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Country,Population,population_density,Birthrate,Deathrate,Agriculture,Industry,Service,total_cases,total_cases_per_million,new_cases_per_million,new_deaths_per_million,stringency_index,population,population_density,hospital_beds_per_thousand
1.0107124918937265,-40,-4,-46,-40,-19,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,867624,4081.795,80.495,2.8789999999999996,77.31,212559409,25.04,2.2
1.0135836551605628,-41,-4,-44,-40,-22,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,888271,4178.931,97.135,2.95,77.31,212559409,25.04,2.2
1.0163714624840805,-40,-4,-38,-40,-22,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,923189,4343.205,164.274,6.031000000000001,77.31,212559409,25.04,2.2
1.0190750035146237,-41,-3,-37,-40,-22,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,955377,4494.635,151.431,5.97,77.31,212559409,25.04,2.2
1.0219963318444552,-41,1,-40,-37,-20,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,978142,4601.735,107.09899999999999,5.824,77.31,212559409,25.04,2.2
1.0249167146862337,-44,2,-45,-34,-7,11,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1032913,4859.409000000001,257.67400000000004,5.6739999999999995,77.31,212559409,25.04,2.2
1.0273410707340052,-54,-8,-49,-42,-1,11,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1067579,5022.497,163.089,4.808,77.31,212559409,25.04,2.2
1.0295527619790923,-40,-5,-41,-38,-19,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1085038,5104.634,82.137,3.016,77.31,212559409,25.04,2.2
1.0315281821444175,-40,-2,-39,-38,-22,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1106470,5205.462,100.82799999999999,3.077,77.31,212559409,25.04,2.2
1.0331972374364962,-43,-8,-36,-40,-24,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1145906,5390.991999999999,185.52900000000002,6.4639999999999995,77.31,212559409,25.04,2.2
1.0345828916382285,-43,-3,-38,-39,-22,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1188631,5591.994000000001,201.003,5.575,77.31,212559409,25.04,2.2
1.0360133074235915,-43,1,-43,-38,-20,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1228114,5777.745,185.75,5.367999999999999,77.31,212559409,25.04,2.2
1.0372975689690629,-50,-3,-56,-42,-12,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1274974,5998.201,220.456,4.658,77.31,212559409,25.04,2.2
1.0379695820646164,-57,-12,-59,-47,-5,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1313667,6180.235,182.03400000000002,5.2170000000000005,77.31,212559409,25.04,2.2
1.0383423289512046,-42,-6,-47,-40,-19,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1344143,6323.611,143.376,2.597,77.31,212559409,25.04,2.2
1.038421931404435,-39,2,-44,-38,-22,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1368195,6436.765,113.154,3.2560000000000002,77.31,212559409,25.04,2.2
1.0381676277931136,-38,4,-39,-38,-22,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1402041,6595.996,159.231,6.022,77.31,212559409,25.04,2.2
0.5994380856929515,4,2,10,3,1,0,Canada,33098932,3.3,10.78,7.8,0.022000000000000002,0.294,0.684,8,0.212,0.026000000000000002,0.0,2.78,37742157,4.037,2.5
0.6432360767003251,13,8,41,4,0,-2,Canada,33098932,3.3,10.78,7.8,0.022000000000000002,0.294,0.684,8,0.212,0.0,0.0,2.78,37742157,4.037,2.5
0.6870238827049047,-12,-15,63,-28,-52,11,Canada,33098932,3.3,10.78,7.8,0.022000000000000002,0.294,0.684,8,0.212,0.0,0.0,2.78,37742157,4.037,2.5
0.7308330506710545,-1,4,6,-1,-1,1,Canada,33098932,3.3,10.78,7.8,0.022000000000000002,0.294,0.684,8,0.212,0.0,0.0,2.78,37742157,4.037,2.5
